Nombre,Procesador,RAM,Disco Duro,Pantalla,SO,Precio,Tarjeta Grafica
Portátil Gaming Acer Predator Helios 300 NH.QC2EB.006,i7,32GB,"1TB SSD,GeForce RTX 3060","15,6""",FreeDOS / Sin Sistema Operativo,999 €,
Portátil Samsung Galaxy Book2 Pro,i5,16GB,512GB SSD,"13,3""",W11+,1.999 €,
Portátil Huawei MateBook X Pro 2022,i7,16GB,1TB SSD,"14,2""",W11,1.699 €,
Microsoft Surface Pro 8,i5,8GB,128GB SSD Platino,"13""",W11,1.079 €,
Portátil ASUS ZenBook Pro 14 Duo OLED UX8402ZA-M3043W,i7,16GB,512GB SSD,"14,5""",W11,1.499 €,
Convertible 2en1 ASUS Chromebook Flip CX5 CX5601FBA-MC0015,i5,16GB,256GB SSD,"16""",Chrome OS,2.299 €,
Portátil Lenovo Yoga S940-14,i7,8 GB,512 GB SSD,"14""",W10,1.599 €,
Portátil ASUS ZenBook 14X OLED UX5401ZAS-KN014W,i7,16GB,512GB SSD,"14""",W11,2.099 €,
Portátil Medion Akoya S6445 MD61521,i5,8 GB,512 GB SSD,"15,6""",W10,949 €,
ChromeBook Portátil ASUS CX9400CEA-KC0072,i5,8GB,256GB SSD,"14""",ChromeOS,"1.235,49 €",
Convertible 2 en 1 Microsoft Surface Laptop 4,i5,8GB,512GB SSD,"1.558,55 €",,,
"Portátil Lenovo Tp L13 Yoga G2 I5-1135G7 8Gb 256Gb 13.3"" Windows 10 Pro","1.140,66 €",,,,,,
"Portátil Apple Macbook Air  M1 8GB 256GB 13"" IOS GRIS ESPECIAL","901,01 €",,,,,,
Portátil HP 255 G8,AMD Athlon,8GB,256GB SSD,"259,95 €",,,
"Portátil Hp Pb640G8 I5-1135G7 8Gb 256Gb Ssd 14 "" W10Pro","1.038,87 €",,,,,,
Portátil Lenovo V V14,i3,8GB,256GB SSD,"528,08 €",,,
"Portátil Dell Vostro 5301 I5-1135G7 8Gb 256Gbssd 13.3"" W10Pro","525,68 €",,,,,,
"Portátil Pirmux Ioxbook 15Ca Celeron N4000 8Gb 256Gb Ssd 15.6"" Sin Sistema Operativo","501,18 €",,,,,,
Portátil HP 250 G8,i3,8GB,256GB SSD,"369,83 €",,,
Portátil HP 15s-eq2113ns,Ryzen 7,8GB,256GB SSD,"369,83 €",,,
Portátil Acer EXTENSA 15 (EX215-53),i7,8GB,512GB SSD,GeForce MX330 2GB,"819,51 €",,
Portátil Denver Nbd - 14105Ssdes,Intel Celeron,4GB,64GB+256GB SSD,"1.286,95 €",,,
"Portátil HP ProBook 450 G7 i5-1135G7 16GB 512SSD 15.6""","806,61 €",,,,,,
Portátil ACER TMP214-53,i5,8GB,512GB SSD,FreeDOS / Sin Sistema Operativo,"373,13 €",,
Portátil ACER TMP214-53,I5,8GB,256 GB SSD,FreeDOS / Sin Sistema Operativo,"597,95 €",,
Portátil Toshiba Dynabook Satellite Pro C50-G-10E,i5,8GB,512SSD,FreeDOS / Sin Sistema Operativo,"520,72 €",,
